coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
meantmpAreaPop,0.2744064144523391,0.12321358006116659,0.12480783663875246,2.198631286644197,0.0279042,8,aS
GDPcap_mean,-0.3854714187478411,0.16094293517854752,0.1629135818500507,2.3661097765478973,0.0179761,8,aS
gini,0.13864081546820017,0.12893203571190975,0.13071114349509805,1.0606656155020135,0.2888419,8,aS
(Intercept),0,0,0,NA,NA,9,aE
DPSIRUSE,0.37132287323964713,0.15843851827554842,0.16063325329807,2.3116189557004296,0.0207987,9,aE
DPSIRRESISTANCE,0.17935554743523097,0.2400228742464472,0.24173260165536717,0.7419584541225193,0.4581125,9,aE
DPSIRDRI,0.45062089052897036,0.1574111963412222,0.15976003104575706,2.820610934908416,0.0047932,9,aE
workTotal,0.27848419605868113,0.1269443557223536,0.1288500262717603,2.161304922602998,0.0306718,9,aE
infTotal,-0.019994053404849794,0.1766466399033941,0.17863289646275923,0.1119281711306634,0.9108804,9,aE
MonitoringandSurveillance,-0.22794548492594882,0.1329540713759997,0.13486574398442028,1.6901659249533458,0.0909962,9,aE
DPSIRUSE:infTotal,-0.07651833309659113,0.19523856994523145,0.19872318728128838,0.38504984820055793,0.7002005,9,aE
DPSIRRESISTANCE:infTotal,-0.2580474746571343,0.20146741911497418,0.20506320892994578,1.2583801648460944,0.2082543,9,aE
DPSIRDRI:infTotal,0.022986332433581554,0.1929252032377749,0.19636853161266127,0.11705710810590725,0.9068148,9,aE
sanTotal,0.10632867086723075,0.1396294128693331,0.14173380669355795,0.7501997818849493,0.4531344,9,aE
